Depth,Source_abbrev,Latitude,Longitude,Sample,Material,Organics,Device,PO4_cb,Deployment_d,Biogenic,Comments,Mesh,Rate_mass,Size,Temp_woa,Sal_woa,TA_cb,DIC_cb,Doxy_woa,Pressure,pH_insitu_cb,Omega_calc23,Omega_use,Size_num,Deployment_d,Material_num,Device_num,inorg_treated,Mesh,Method_num
1998.092496575165,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.20275828732317,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0028847723027652,L,3.608201492358603,34.98350648284098,2317.50085969639,2157.99251888028,263.6483534580931,2020.498466019188,7.99101362387753,1.6412915074214172,1.6412915074214172,6.0,121.0,0,0,0.0,40.0,0
2008.1589123762287,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.20308318301841,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0095788503241686,L,3.598082122886099,34.98345463926039,2317.61101381127,2158.07771542422,263.6496764521691,2030.7263822790585,7.99079503060873,1.637611610253476,1.637611610253476,6.0,121.0,0,0,0.0,40.0,0
2521.520106820192,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.22823201039049,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0660846603705592,L,3.108145328352637,34.956735774118194,2321.50429489678,2162.11287274501,264.3628288694557,2552.9606483072275,7.97755492270864,1.454675084443748,1.454675084443748,6.0,121.0,0,0,0.0,40.0,0
2523.158825671528,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.22818155412736,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0416885704912783,L,3.1067562971767178,34.956675523762016,2321.50951687512,2162.11346469811,264.38324190226626,2554.629685636832,7.97752419731066,1.4541672995004382,1.4541672995004382,6.0,121.0,0,0,0.0,40.0,0
3489.092548597985,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.25843346382464,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0055367484216774,L,2.475094297524427,34.91492712456343,2326.1551320159,2167.75743753173,268.1850981089497,3540.624018915723,7.945358745547,1.1618656965858352,1.1618656965858352,6.0,121.0,0,0,0.0,40.0,0
3494.47691053809,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.25890300255747,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0193116311862319,L,2.4729156895247764,34.91476913298104,2326.20398920051,2167.8211080629,268.1597408739871,3546.1323856894373,7.94511502069317,1.1603543635109768,1.1603543635109768,6.0,121.0,0,0,0.0,40.0,0
4420.170981670627,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.29405940040657,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0220975838844228,L,2.3157019778264063,34.8978037288612,2330.55660072148,2173.66597512659,267.7504317371479,4495.1305963263485,7.90442822266318,0.940721805384162,0.940721805384162,6.0,121.0,0,0,0.0,40.0,0
4439.185322628194,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.29552288365352,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0590950737239384,L,2.31517887798492,34.897473863467994,2330.69753120868,2173.86321217178,267.6389205374838,4514.664750073422,7.90349073146788,0.9366733114788351,0.9366733114788351,6.0,121.0,0,0,0.0,40.0,0
5213.831133924082,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.41270769657044,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0492197645860468,L,2.242451885710346,34.87370984671409,2339.92399198509,2187.98895358173,258.52759739087713,5311.880888830038,7.85978817825953,0.7769923241064405,0.7769923241064405,6.0,121.0,0,0,0.0,40.0,0
5215.313784313386,M77,23.3,-70.5,Foraminifera,Calcite,True,False,1.41297884550946,121.0,False,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.0688953179698937,L,2.242189079355498,34.873657395561025,2339.94444651518,2188.02133591616,258.5081753661823,5313.409333017041,7.85970177303024,0.7767078385277288,0.7767078385277288,6.0,121.0,0,0,0.0,40.0,0
476.8151629181334,M77,23.3,-70.5,Aragonite ooids,Aragonite,True,False,0.487072565272931,121.0,False,"Size: 250-500 um, ",40.0,0.0021863837512064,L,16.084141588278722,36.19671414225598,2369.06590687776,2102.84059607897,186.148259456268,480.4022716556826,8.07073722718564,2.592265326145041,2.592265326145041,6.0,121.0,1,0,0.0,40.0,0
993.9740232715416,M77,23.3,-70.5,Aragonite ooids,Aragonite,True,False,1.52183285229647,121.0,False,"Size: 250-500 um, ",40.0,0.0091132579564628,L,6.69600939644192,35.04677917642583,2320.69447741085,2179.46245005819,185.65553977870465,1002.7058416703028,7.93717747718363,1.2413567922084188,1.2413567922084188,6.0,121.0,1,0,0.0,40.0,0
2005.0375431355887,M77,23.3,-70.5,Aragonite ooids,Aragonite,True,False,1.2029696350267,121.0,False,"Size: 250-500 um, ",40.0,0.0142993868196026,L,3.6012257603486817,34.98349033825245,2317.57796664068,2158.05101083389,263.64992849190054,2027.5548838349569,7.99086470614681,1.058874500201911,1.058874500201911,6.0,121.0,1,0,0.0,40.0,0
