Calcite,,Aragonite,,Mg-calcite,
X,Y,X,Y,X,Y
39.276981450252954,5986.193086003373,66.5693507588533,5985.508010118044,58.626686340640816,5979.605817875211
12.634907251264757,4993.465430016864,61.65999156829682,5990.883220910624,27.724494097807764,5984.243254637437
11.768549747048901,4994.41399662732,37.652824620573355,5491.620994940978,27.257588532883645,5517.601180438448
2.202782462057339,4508.537099494098,28.229342327150086,4976.391231028669,26.39123102866779,5518.549747048904
2.925801011804385,4522.344013490725,23.03119730185498,4982.0826306914005,18.122892074198994,5002.0552276559865
0.28983979763912515,4014.281197301855,26.31850758853288,4511.330101180439,23.754215851602027,4995.889544688027
1.011804384485668,4013.490725126476,21.986720067453625,4516.072934232715,10.145446880269816,4514.4392917369305
0.10855817875211216,3503.5307757166947,22.52634907251266,3989.9346543001693,7.690767284991569,4517.126897133221
0.36256323777403665,3021.50084317032,14.151559865092757,3999.10413153457,4.187394603709951,3995.4152613827982
0.142284991568296,1970.6471332209105,8.773187183811132,3508.642495784149,2.1669477234401384,4012.2259696458686
,,7.90682967959528,3509.5910623946047,0.9759696458684672,3517.179595278247
,,2.6728499156829706,3018.9713322091065,1.8423271500843192,3516.231028667791
,,3.394814502529517,3018.180860033727,1.2289207419898887,3020.5522765598653
,,2.201728499156829,2493.939713322091,2.095278246205737,3019.6037099494097
,,1.6252107925801056,2509.1694772344017,0.47006745362563507,2510.434232715009
,,1.732715008431704,1998.1028667790895,1.155143338954474,1998.735244519393
,,0.7219645868465463,1999.2095278246204,,
,,0.21711635750422076,1007.0615514333897,,
