Rate,Depth
0.00000,243.30900
1.33333,742.09246
-0.26667,997.56691
0.80000,1240.87591
2.40000,1496.35036
1.86667,1751.82482
3.73333,2238.44282
3.73333,2737.22628
12.80000,3248.17518
14.93333,3746.95864
17.06667,4744.52555
34.93333,5243.30900
