Rate,Depth,Rate_error,Rate_max
0.010,501.66599,0.007,0.0172
0.028,550.02318,0.006,0.0338
0.063,601.61094,0.005,0.0677
0.042,650.86632,0.014,0.0562
0.014,699.81747,0.000,0.0136
0.017,750.07243,0.007,0.0238
0.024,848.1196,0.008,0.0321
0.037,999.02938,0.015,0.0519
