Station	Lat	Long	Cast_ID	Datetime_in	Datetime_out	sample_id	Niskin	Talkumolk	pHp0T25S	DICAlkpH0	Depthm	TempC	S	Oca	Oar	Rateggd	Rategcm2d	Rateerrorggd	Rateerrorgcm2d	logrategcm2d	lograteerrorgcm2d	Oca_corr	Rs
3	35.267	-150.983	HW	20170813_2120	20170815_0658	calcite	7	2375.6	7.273	2394.0	1050	3.267	34.361	0.698	0.445	8.374E-04	5.510E-07	2.930E-05	1.930E-08	-6.260	0.015	0.00	Inf
3	35.267	-150.983	HW	20170813_2120	20170815_0658	calcite	9	2408.6	7.329	2407.8	1500	2.529	34.539	0.734	0.470	6.283E-04	4.130E-07	2.980E-05	1.960E-08	-6.380	0.021	0.00	Inf
3	35.267	-150.983	HW	20170813_2120	20170815_0658	calcite	12	2424.9	7.428	2389.8	2110	1.888	34.622	0.822	0.531	5.850E-05	3.850E-08	1.410E-05	9.260E-09	-7.410	0.104	0.00	Inf
4	41.716	-148.3	FA	20170816_2115	20170817_2305	calcite	6	2313.1	7.335	2310.6	600	4.457	34.063	0.885	0.562	1.049E-04	6.900E-08	2.250E-05	1.480E-08	-7.160	0.093	0.00	Inf
4	41.716	-148.3	FA	20170816_2115	20170817_2305	calcite	8	2322.3	7.254	2347.0	700	4.124	34.148	0.709	0.451	3.363E-04	2.210E-07	1.950E-05	1.290E-08	-6.660	0.025	0.00	Inf
4	41.716	-148.3	HW	20170817_2359	20170819_1200	calcite	2	2318.0	7.323	2319.5	620	4.367	34.083	0.858	0.544	6.506E-05	4.280E-08	1.470E-05	9.660E-09	-7.370	0.098	0.00	Inf
4	41.716	-148.3	HW	20170817_2359	20170819_1200	calcite	4	2329.4	7.313	2334.1	675	4.203	34.129	0.830	0.527	1.051E-04	6.920E-08	1.240E-05	8.130E-09	-7.160	0.051	0.00	Inf
4	41.716	-148.3	HW	20170817_2359	20170819_1200	calcite	6	2380.1	7.282	2395.5	1040	3.119	34.342	0.717	0.457	6.080E-04	4.000E-07	1.400E-05	9.190E-09	-6.400	0.010	0.00	Inf
4	41.716	-148.3	HW	20170817_2359	20170819_1200	calcite	10	2410.9	7.300	2420.1	1500	2.443	34.495	0.680	0.436	1.351E-03	8.890E-07	2.440E-05	1.610E-08	-6.050	0.008	0.00	Inf
4	41.716	-148.3	HW	20170817_2359	20170819_1200	calcite	12	2430.6	7.391	2408.0	2100	1.907	34.607	0.749	0.484	2.856E-04	1.880E-07	1.990E-05	1.310E-08	-6.730	0.030	0.00	Inf
5	49.683	-155.283	FA	20170821_0950	20170823_1859	calcite	6	2346.9	7.267	2367.6	620	3.565	34.212	0.750	0.476	2.973E-04	1.960E-07	6.680E-06	4.390E-09	-6.709	0.010	0.00	Inf
5	49.683	-155.283	FA	20170821_0950	20170823_1859	calcite	4	2323.0	7.249	2350.0	430	3.811	34.061	0.741	0.469	3.103E-04	2.040E-07	1.110E-05	7.330E-09	-6.690	0.016	0.00	Inf
5	49.683	-155.283	FA	20170821_0950	20170823_1859	calcite	2	2292.5	7.241	2321.8	255	3.766	33.849	0.745	0.470	2.643E-04	1.740E-07	8.830E-06	5.810E-09	-6.760	0.015	0.00	Inf
5	27.75	-155.283	HW3	20170824_2211	20170826_0800	calcite	2	2276.7	7.305	2284.7	163.1	3.644	33.701	0.883	0.556	3.690E-05	2.430E-08	1.780E-05	1.170E-08	-7.615	0.209	0.00	Inf
5	27.75	-155.283	HW3	20170824_2211	20170826_0800	calcite	3	2276.8	7.300	2286.3	168.1	3.646	33.704	0.872	0.550	2.630E-05	1.730E-08	1.580E-05	1.040E-08	-7.762	0.261	0.00	Inf
5	27.75	-155.283	HW3	20170824_2211	20170826_0800	calcite	5	2276.2	7.281	2292.0	178.3	3.665	33.733	0.829	0.523	1.990E-05	1.310E-08	1.670E-05	1.100E-08	-7.883	0.366	0.00	Inf
5	27.75	-155.283	HW3	20170824_2211	20170826_0800	calcite	7	2280.9	7.285	2295.3	188	3.666	33.743	0.838	0.529	3.760E-05	2.470E-08	2.010E-05	1.320E-08	-7.607	0.232	0.00	Inf
5	27.75	-155.283	HW3	20170824_2211	20170826_0800	calcite	8	2278.2	7.234	2309.8	193	3.678	33.760	0.736	0.464	3.431E-04	2.260E-07	1.600E-05	1.050E-08	-6.646	0.020	0.00	Inf
5	27.75	-155.283	HW3	20170824_2211	20170826_0800	calcite	10	2283.4	7.275	2301.3	203.1	3.686	33.781	0.816	0.514	2.380E-04	1.570E-07	1.540E-05	1.020E-08	-6.805	0.028	0.00	Inf
5	27.75	-155.283	HW3	20170824_2211	20170826_0800	calcite	11	2284.9	7.273	2303.4	208.1	3.694	33.790	0.811	0.512	2.548E-04	1.680E-07	1.530E-05	1.010E-08	-6.776	0.026	0.00	Inf
5	27.75	-155.283	HW3	20170824_2211	20170826_0800	calcite	14	2295.4	7.267	2316.2	218	3.711	33.806	0.801	0.505	2.638E-04	1.740E-07	1.740E-05	1.150E-08	-6.761	0.029	0.00	Inf
2	27.75	-155.283	HW2	20170809_1212	20170810_1920	ehuxleyi	10	2363.8	7.299	2373.2	989.9	3.921	34.374	0.758	0.483	2.255E-03	2.150E-08	5.519E-04	5.259E-09	-7.668	0.106	0.00	0.92
2	27.75	-155.283	HW2	20170809_1212	20170810_1920	ehuxleyi	11	2369.5	7.297	2379.5	999.4	3.903	34.381	0.755	0.481	2.420E-03	2.296E-08	4.868E-04	4.633E-09	-7.639	0.087	0.00	0.92
2	27.75	-155.283	HW2	20170809_1212	20170810_1920	ehuxleyi	10	2363.8	7.299	2373.2	989.9	3.921	34.374	0.758	0.483	2.255E-03	2.150E-08	5.519E-04	5.259E-09	-7.668	0.106	0.00	0.92
2	27.75	-155.283	HW2	20170809_1212	20170810_1920	ehuxleyi	11	2369.5	7.297	2379.5	999.4	3.903	34.381	0.755	0.481	2.420E-03	2.296E-08	4.868E-04	4.633E-09	-7.639	0.087	0.00	0.92
