Rate,Depth
-1.06667,255.47445
2.13333,742.09246
0.80000,1009.73236
2.13333,1253.04136
1.33333,1508.51582
2.66667,1763.99027
2.93333,2250.60827
8.53333,2749.39173
16.80000,3248.17518
13.06667,3759.12409
32.26667,4756.69100
55.20000,5243.30900
