Rate,Depth
0.01564986737400531, 215.78947368421086
0.022015915119363433, 286.84210526315826
0.02519893899204248, 346.0526315789476
0.02519893899204248, 428.94736842105294
0.02519893899204248, 500.00000000000034
0.02519893899204248, 571.0526315789477
0.022015915119363433, 642.105263157895
0.026790450928381976, 701.3157894736845
0.0283819628647215, 784.2105263157898
0.026790450928381976, 855.2631578947371
0.02519893899204248, 926.3157894736844
0.02519893899204248, 997.3684210526319
0.02519893899204248, 1056.5789473684215
0.02519893899204248, 1139.4736842105267
0.022015915119363433, 1198.6842105263163
0.022015915119363433, 1281.5789473684213
0.022015915119363433, 1352.6315789473688
0.022015915119363433, 1411.8421052631581
0.0283819628647215, 1482.8947368421054
0.0283819628647215, 1542.1052631578953
0.03156498673740055, 1625.0000000000005
0.039522546419098165, 1696.0526315789477
0.04270557029177721, 1755.263157894737
0.03793103448275864, 1826.3157894736846
0.04588859416445626, 1897.3684210526317
0.041114058355437716, 1968.4210526315792
0.034748010610079594, 2039.4736842105267
0.041114058355437716, 2110.526315789474
0.04270557029177721, 2181.5789473684213
0.039522546419098165, 2252.631578947369
0.039522546419098165, 2323.684210526316
0.039522546419098165, 2394.736842105264
0.03633952254641912, 2536.8421052631584
0.03633952254641912, 2607.8947368421054
0.041114058355437716, 2465.789473684211
0.057029177718832924, 3673.6842105263163
0.0554376657824934, 3602.631578947369
0.06021220159151197, 3519.7368421052633
0.12864721485411143, 3957.894736842105
0.14297082228116711, 4017.105263157895
0.11273209549071622, 3875
0.09363395225464197, 3815.789473684211
0.07612732095490718, 3744.7368421052633
0.2098143236074271, 4242.105263157895
0.2241379310344828, 4159.21052631579
0.2161803713527852, 4313.1578947368425
0.22572944297082234, 4372.368421052632
0.17798408488063663, 4088.1578947368425
0.3164456233421751, 4443.421052631579
0.28620689655172415, 4656.578947368421
0.270291777188329, 4585.526315789474
0.2718832891246684, 4514.473684210527
0.24005305039787808, 4798.684210526316
0.29575596816976135, 4869.736842105263
0.346684350132626, 4727.631578947368
0.049071618037135306, 3460.526315789474
0.039522546419098165, 3377.631578947369
0.03633952254641912, 3318.4210526315796
0.03633952254641912, 3247.368421052632
0.0283819628647215, 3105.263157894737
0.0283819628647215, 3034.2105263157896
0.03156498673740055, 2963.157894736842
0.03156498673740055, 2892.105263157895
0.0283819628647215, 2821.0526315789475
0.03633952254641912, 2678.947368421053
0.03156498673740055, 2738.157894736842
0.0283819628647215, 3176.3157894736846
