Rate,Depth
5.6,627.5
4.6,649.9
5.0,1266.1
6.3,1266.1
3.8,2240.9
4.8,2240.9
8.0,2845.9
7.0,2845.9
24.7,3731.1
25.7,3731.1
26.7,3787.1
28.7,3787.1
29.2,3731.1
31.8,3742.3
