Latitude,Longitude,Depth,Pressure,InSitu_Temperature,Salinity+0.001,Doxy,Year,Month,NO3,PO4,SiOH4,TA,DIC,pH_insitu
0,-152.2,1523,1537.05854219255,2.97322254726876,34.6077957326708,94.6716494130734,1982,1,39.6758697124703,2.83247149458192,118.862306116734,2392.17423612354,2330.71010256422,7.74399231487408
0,-152.2,2298,2323.49346264018,1.98244864640024,34.65921125201,115.993708276835,1982,1,38.391087804227,2.70867848821433,143.880339188794,2421.67645887695,2344.03148444825,7.7713411511072
0,-152.2,2734,2767.17595341709,1.77175302349942,34.6724120670376,129.33630784244,1982,1,37.5180264810359,2.62940994265869,145.939610673848,2425.17205967999,2338.8524801479,7.78370353529477
0,-152.2,3031,3069.91984322717,1.67113024425756,34.6769565600097,135.114476389027,1982,1,37.1648851185388,2.59793593423248,147.157672435946,2426.59645089629,2336.81256728758,7.78329512544974
0,-152.2,3213,3255.64304838084,1.60643281342985,34.6806878045195,141.186057173574,1982,1,36.7670822309364,2.56422569649393,146.357204507845,2425.71433072172,2332.76175811102,7.78625969492585
0,-152.2,3393,3439.4767593084,1.53705219869738,34.6854030467746,147.081633158472,1982,1,36.3776114594117,2.53232856741336,145.648216676811,2424.71887236907,2328.78826434227,7.78820884017967
0,-152.2,3574,3624.48311846484,1.47137753643667,34.690184818018,152.40847746483,1982,1,36.0241939657129,2.50437997502302,145.021146227423,2423.59047270495,2325.09592452999,7.78844851229606
0,-152.2,3742,3796.33710854397,1.43086046911275,34.693433119819,156.676327178512,1982,1,35.734034407407,2.48223020172764,144.037249956447,2422.00097444381,2321.61289605578,7.78697218402564
0,-152.2,3838,3894.59775143052,1.4187534171549,34.6946121303442,158.77428063181,1982,1,35.5871215942834,2.47127943618318,143.270346269428,2420.8712869244,2319.61532057888,7.78538814747294
0,-152.2,3934,3992.90074817481,1.41002507345291,34.695852748915,160.873964488677,1982,1,35.4353607003728,2.4601550697105,142.357596704584,2419.58101021986,2317.46861309585,7.78370542734803
0,-152.2,4030,4091.24602530567,1.40051805720076,34.6974434003283,162.880324334319,1982,1,35.2878794919468,2.44952191418267,141.533686319407,2418.38893390983,2315.44110845315,7.78186468759362
0,-152.2,4216,4281.91004280175,1.38591188349614,34.6996941125488,166.645163996516,1982,1,35.0127006258554,2.42981451322391,139.826434836779,2415.7754468469,2311.41503399306,7.77776404027763
0,-152.2,4312,4380.37909376307,1.38351790767866,34.698196869352,168.061589351633,1982,1,34.9287588237295,2.42338759619647,139.089784051965,2414.35381798477,2309.75076034686,7.77446074744053
0,-152.2,1523,1537.05854219255,2.97322254726876,34.6077957326708,94.6716494130734,1982,1,39.6758697124703,2.83247149458192,118.862306116734,2392.17423612354,2330.71010256422,7.74399231487408
0,-152.2,2298,2323.49346264018,1.98244864640024,34.65921125201,115.993708276835,1982,1,38.391087804227,2.70867848821433,143.880339188794,2421.67645887695,2344.03148444825,7.7713411511072
0,-152.2,2734,2767.17595341709,1.77175302349942,34.6724120670376,129.33630784244,1982,1,37.5180264810359,2.62940994265869,145.939610673848,2425.17205967999,2338.8524801479,7.78370353529477
0,-152.2,3031,3069.91984322717,1.67113024425756,34.6769565600097,135.114476389027,1982,1,37.1648851185388,2.59793593423248,147.157672435946,2426.59645089629,2336.81256728758,7.78329512544974
0,-152.2,3213,3255.64304838084,1.60643281342985,34.6806878045195,141.186057173574,1982,1,36.7670822309364,2.56422569649393,146.357204507845,2425.71433072172,2332.76175811102,7.78625969492585
0,-152.2,3393,3439.4767593084,1.53705219869738,34.6854030467746,147.081633158472,1982,1,36.3776114594117,2.53232856741336,145.648216676811,2424.71887236907,2328.78826434227,7.78820884017967
0,-152.2,3574,3624.48311846484,1.47137753643667,34.690184818018,152.40847746483,1982,1,36.0241939657129,2.50437997502302,145.021146227423,2423.59047270495,2325.09592452999,7.78844851229606
0,-152.2,3742,3796.33710854397,1.43086046911275,34.693433119819,156.676327178512,1982,1,35.734034407407,2.48223020172764,144.037249956447,2422.00097444381,2321.61289605578,7.78697218402564
0,-152.2,3838,3894.59775143052,1.4187534171549,34.6946121303442,158.77428063181,1982,1,35.5871215942834,2.47127943618318,143.270346269428,2420.8712869244,2319.61532057888,7.78538814747294
0,-152.2,3934,3992.90074817481,1.41002507345291,34.695852748915,160.873964488677,1982,1,35.4353607003728,2.4601550697105,142.357596704584,2419.58101021986,2317.46861309585,7.78370542734803
0,-152.2,4030,4091.24602530567,1.40051805720076,34.6974434003283,162.880324334319,1982,1,35.2878794919468,2.44952191418267,141.533686319407,2418.38893390983,2315.44110845315,7.78186468759362
0,-152.2,4216,4281.91004280175,1.38591188349614,34.6996941125488,166.645163996516,1982,1,35.0127006258554,2.42981451322391,139.826434836779,2415.7754468469,2311.41503399306,7.77776404027763
0,-152.2,4312,4380.37909376307,1.38351790767866,34.698196869352,168.061589351633,1982,1,34.9287588237295,2.42338759619647,139.089784051965,2414.35381798477,2309.75076034686,7.77446074744053
